1,egocentric
2,egocentric
3,egocentric
4,egocentric
5,egocentric
6,egocentric
7,egocentric
8,egocentric
9,egocentric
10,egocentric
11,egocentric
12,egocentric
13,egocentric
14,egocentric
15,egocentric
16,egocentric
17,egocentric
18,egocentric
19,egocentric
20,egocentric
1,mixture
2,mixture
3,mixture
4,mixture
5,mixture
6,mixture
7,mixture
8,mixture
9,mixture
10,mixture
11,mixture
12,mixture
13,mixture
14,mixture
15,mixture
16,mixture
17,mixture
18,mixture
19,mixture
20,mixture
1,occlusionSensitive
2,occlusionSensitive
3,occlusionSensitive
4,occlusionSensitive
5,occlusionSensitive
6,occlusionSensitive
7,occlusionSensitive
8,occlusionSensitive
9,occlusionSensitive
10,occlusionSensitive
11,occlusionSensitive
12,occlusionSensitive
13,occlusionSensitive
14,occlusionSensitive
15,occlusionSensitive
16,occlusionSensitive
17,occlusionSensitive
18,occlusionSensitive
19,occlusionSensitive
20,occlusionSensitive
